Team,Score,Overs,Run Rate,Innings.1,Opposition.1,Venue
South Africa,428/5,50,8.56,1,Sri Lanka,Delhi
India,410/4,50,8.2,1,Netherlands,Bengaluru
New Zealand,401/6,50,8.02,1,Pakistan,Bengaluru
South Africa,399/7,50,7.98,1,England,Wankhede
Australia,399/8,50,7.98,1,Netherlands,Delhi
India,397/4,50,7.94,1,New Zealand,Wankhede
Australia,388,49.2,7.86,1,New Zealand,Dharamsala
New Zealand,383/9,50,7.66,2,Australia,Dharamsala
South Africa,382/5,50,7.64,1,Bangladesh,Wankhede
Australia,367/9,50,7.34,1,Pakistan,Bengaluru
England,364/9,50,7.28,1,Bangladesh,Dharamsala
South Africa,357/4,50,7.14,1,New Zealand,Pune
India,357/8,50,7.14,1,Sri Lanka,Wankhede
Pakistan,345/4,48.2,7.13,2,Sri Lanka,Hyderabad
Sri Lanka,344/9,50,6.88,1,Pakistan,Hyderabad
England,339/9,50,6.78,1,Netherlands,Pune
England,337/9,50,6.74,1,Pakistan,Eden Gardens
New Zealand,327,48.5,6.69,2,India,Wankhede
Sri Lanka,326,44.5,7.27,2,South Africa,Delhi
India,326/5,50,6.52,1,South Africa,Eden Gardens
New Zealand,322/7,50,6.44,1,Netherlands,Hyderabad
South Africa,311/7,50,6.22,1,Australia,Lucknow
Australia,307/2,44.4,6.87,2,Bangladesh,Pune
Bangladesh,306/8,50,6.12,1,Australia,Pune
Pakistan,305,45.3,6.7,2,Australia,Bengaluru
Australia,293/7,46.5,6.25,2,Afghanistan,Wankhede
Afghanistan,291/5,50,5.82,1,Australia,Wankhede
New Zealand,288/6,50,5.76,1,Afghanistan,Chennai
Pakistan,286,49,5.83,1,Netherlands,Hyderabad
Afghanistan,286/2,49,5.83,2,Pakistan,Chennai
Australia,286,49.3,5.77,1,England,Ahmedabad
Afghanistan,284,49.5,5.69,1,England,Delhi
New Zealand,283/1,36.2,7.78,2,England,Ahmedabad
