Partners,Runs,Wkt,Team,Opposition,Ground
"R Ravindra, DP Conway",273*,2nd,New Zealand,v England,Ahmedabad
"DA Warner, MR Marsh",259,1st,Australia,v Pakistan,Bengaluru
"KL Rahul, SS Iyer",208,4th,India,v Netherlands,Bengaluru
"HE van der Dussen, Q de Kock",204,2nd,South Africa,v Sri Lanka,Delhi
"GJ Maxwell, PJ Cummins",202*,8th,Australia,v Afghanistan,Wankhede
"HE van der Dussen, Q de Kock",200,2nd,South Africa,v New Zealand,Pune
"Fakhar Zaman, Babar Azam",194*,2nd,Pakistan,v New Zealand,Bengaluru
"M Labuschagne, TM Head",192,4th,Australia,v India,Ahmedabad
"Shubman Gill, V Kohli",189,2nd,India,v Sri Lanka,Wankhede
"KS Williamson, DJ Mitchell",181,3rd,New Zealand,v India,Wankhede
"KS Williamson, R Ravindra",180,2nd,New Zealand,v Pakistan,Bengaluru
"Mohammad Rizwan, Abdullah Shafique",176,3rd,Pakistan,v Sri Lanka,Hyderabad
"SPD Smith, MR Marsh",175*,3rd,Australia,v Bangladesh,Pune
"DA Warner, TM Head",175,1st,Australia,v New Zealand,Dharamsala
"Shakib Al Hasan, Najmul Hossain Shanto",169,3rd,Bangladesh,v Sri Lanka,Delhi
"KL Rahul, V Kohli",165,4th,India,v Australia,Chennai
"V Kohli, SS Iyer",163,2nd,India,v New Zealand,Wankhede
"R Ravindra, DJ Mitchell",159,3rd,New Zealand,v India,Dharamsala
"RG Sharma, Ishan Kishan",156,1st,India,v Afghanistan,Delhi
"JE Root, DJ Malan",151,2nd,England,v Bangladesh,Dharamsala
"H Klaasen, M Jansen",151,6th,South Africa,v England,Wankhede
"GD Phillips, TWM Latham",144,5th,New Zealand,v Afghanistan,Chennai
"H Klaasen, Q de Kock",142,4th,South Africa,v Bangladesh,Wankhede
"S Samarawickrama, P Nissanka",137*,3rd,Sri Lanka,v England,Bengaluru
"Imam-ul-Haq, Abdullah Shafique",134,1st,Pakistan,v Australia,Bengaluru
"V Kohli, SS Iyer",134,3rd,India,v South Africa,Eden Gardens
"DA Warner, SPD Smith",132,2nd,Australia,v Netherlands,Delhi
"BA Stokes, JE Root",132,3rd,England,v Pakistan,Eden Gardens
"AK Markram, Q de Kock",131,3rd,South Africa,v Bangladesh,Wankhede
"LV van Beek, SA Engelbrecht",130,7th,Netherlands,v Sri Lanka,Lucknow
"Rahmanullah Gurbaz, Ibrahim Zadran",130,1st,Afghanistan,v Pakistan,Chennai
"CR Woakes, BA Stokes",129,7th,England,v Netherlands,Pune
"Fakhar Zaman, Abdullah Shafique",128,1st,Pakistan,v Bangladesh,Eden Gardens
"MDKJ Perera, P Nissanka",125,1st,Sri Lanka,v Australia,Lucknow
"Hashmatullah Shahidi, Azmatullah Omarzai",121,4th,Afghanistan,v India,Delhi
"HE van der Dussen, RR Hendricks",121,2nd,South Africa,v England,Wankhede
"Saud Shakeel, Mohammad Rizwan",120,4th,Pakistan,v Netherlands,Hyderabad
"DA Warner, MR Marsh",120,2nd,Australia,v Bangladesh,Pune
"DJ Malan, JM Bairstow",115,1st,England,v Bangladesh,Dharamsala
"Rahmanullah Gurbaz, Ibrahim Zadran",114,1st,Afghanistan,v England,Delhi
"Hashmatullah Shahidi, Azmatullah Omarzai",111*,4th,Afghanistan,v Sri Lanka,Pune
"S Samarawickrama, BKG Mendis",111,3rd,Sri Lanka,v Pakistan,Hyderabad
"KS Williamson, DJ Mitchell",108*,3rd,New Zealand,v Bangladesh,Chennai
"Q de Kock, T Bavuma",108,1st,South Africa,v Australia,Lucknow
"GJ Maxwell, PJ Cummins",103,7th,Australia,v Netherlands,Delhi
"P Nissanka, BKG Mendis",102,2nd,Sri Lanka,v Pakistan,Hyderabad
"Shubman Gill, RG Sharma",100,1st,India,v Netherlands,Bengaluru
"Najmul Hossain Shanto, Mehidy Hasan Miraz",97,3rd,Bangladesh,v Afghanistan,Dharamsala
"Rahmat Shah, Hashmatullah Shahidi",96*,3rd,Afghanistan,v Pakistan,Chennai
"Shakib Al Hasan, Mushfiqur Rahim",96,5th,Bangladesh,v New Zealand,Chennai
"R Ravindra, DJ Mitchell",96,3rd,New Zealand,v Australia,Dharamsala
"Saud Shakeel, Mohammad Rizwan",95,4th,Pakistan,v Sri Lanka,Hyderabad
"DA Miller, H Klaasen",95,5th,South Africa,v Australia,Eden Gardens
"Shubman Gill, V Kohli",93*,2nd,India,v New Zealand,Wankhede
"Tanzid Hasan, Litton Das",93,1st,Bangladesh,v India,Pune
"RG Sharma, KL Rahul",91,4th,India,v England,Lucknow
"Shubman Gill, RG Sharma",88,1st,India,v Bangladesh,Pune
"R Ravindra, DP Conway",86,1st,New Zealand,v Sri Lanka,Bengaluru
"JE Root, DJ Malan",85,2nd,England,v Netherlands,Pune
"DA Warner, M Labuschagne",84,3rd,Australia,v Netherlands,Delhi
"Shadab Khan, Saud Shakeel",84,6th,Pakistan,v South Africa,Chennai
"BA Stokes, DJ Malan",84,3rd,England,v Australia,Ahmedabad
"KL Rahul, V Kohli",83*,4th,India,v Bangladesh,Pune
"Rahmat Shah, Ibrahim Zadran",83,2nd,Afghanistan,v Australia,Wankhede
"MD Shanaka, KIC Asalanka",82,6th,Sri Lanka,v South Africa,Delhi
